date,slot,P_plan_kW,P_em_kW,P_ch_kW,P_dis_kW,E_kWh,P_curt_kW,load_forecast_kW,pv_forecast_kW,load_actual_kW,pv_actual_kW,price
2025-02-01,0,7780.118880000001,0.0,5000.0,0.0,2412.720461990742,247.93668000000116,2631.0907500000003,0.0,2532.1822,0.0,0.4248
2025-02-01,1,7763.25289,0.0,5000.0,0.0,3162.720461990742,270.80898999999977,2681.689275,0.0,2492.4439,0.0,0.4245
2025-02-01,2,7843.956999999999,0.0,5000.0,0.0,3912.720461990742,379.65699999999924,2743.69,0.0,2464.3,0.0,0.4269
2025-02-01,3,7909.127399999999,0.0,5000.0,0.0,4662.7204619907425,327.3585999999998,2786.4323249999998,0.0,2581.7688,0.0,0.4272
2025-02-01,4,7967.9637299999995,0.0,5000.0,0.0,5412.7204619907425,421.5002300000001,2837.0345,0.0,2546.4635,0.0,0.4271
2025-02-01,5,8006.952833333333,0.0,5000.0,0.0,6162.7204619907425,570.6428333333336,2873.3575,0.0,2436.31,0.0,0.4285
2025-02-01,6,2952.7859249999997,0.0,332.2848249999997,0.0,6912.7204619907425,0.0,2832.4645499999997,0.0,2620.5011,0.0,0.4311
2025-02-01,7,7787.740205,0.0,5000.0,0.0,6962.5631857407425,76.95410500000116,2743.18115,0.0,2710.7861,0.0,0.4302
2025-02-01,8,7798.737999999999,0.0,5000.0,0.0,7712.5631857407425,122.25800000000027,2726.59,0.0,2676.48,0.0,0.4279
2025-02-01,9,3008.4099550000005,0.0,177.81195500000058,0.0,8462.563185740742,0.0,2886.1069500000003,0.0,2830.598,0.0,0.4312
2025-02-01,10,3089.7655350000005,0.0,401.60973500000046,0.0,8489.234978990742,0.0,2990.3833250000002,0.0,2688.1558,0.0,0.4333
2025-02-01,11,4017.841586728383,0.0,1633.4215867283826,0.0,8549.476439240741,0.0,2960.2125,0.0,2384.42,0.0,0.4311
2025-02-01,12,8038.745538333333,0.0,5000.0,0.0,8794.48967725,434.2017383333332,2932.8839749999997,0.0,2604.5438,0.0,0.4293
2025-02-01,13,3069.829631666667,0.0,126.46413166666707,0.0,9544.48967725,0.0,2962.857225,0.0,2943.3655,0.0,0.4324
2025-02-01,14,3161.054,0.0,141.73399999999992,0.0,9563.459297,0.0,3025.2200000000003,0.0,3019.32,0.0,0.4367
2025-02-01,15,3119.0579800000005,0.0,274.62108000000035,0.0,9584.719396999999,0.0,3062.7306,0.0,2844.4369,0.0,0.4348
2025-02-01,16,3248.2554,0.0,479.949,0.0,9625.912558999999,0.0,3110.588525,0.0,2768.3064,0.0,0.4335
2025-02-01,17,3322.1865000000003,0.0,460.5365000000001,0.0,9697.904908999999,0.0,3170.88,0.0,2861.65,0.0,0.4357
2025-02-01,18,3275.8261450000005,0.0,375.42884500000036,0.0,9766.985384,0.0,3189.4960250000004,0.0,2900.3973,0.0,0.4374
2025-02-01,19,3165.024475,0.0,245.4129750000002,0.0,9823.29971075,0.0,3119.2655999999997,0.0,2919.6115,0.0,0.4371
2025-02-01,20,3125.2715,0.0,132.1814999999997,0.0,9860.111657,0.0,3014.6025,0.0,2993.09,0.0,0.4356
2025-02-01,21,3086.4003416666665,0.0,0.0,23.45805833333361,9879.938881999999,0.0,3002.2081749999998,0.0,3109.8584,0.0,0.4353
2025-02-01,22,3205.740635,0.0,150.93983500000013,0.0,9875.594797123455,0.0,3098.3209500000003,0.0,3054.8008,0.0,0.436
2025-02-01,23,3312.3775,0.0,410.67750000000024,0.0,9898.235772373455,0.0,3228.815,0.0,2901.7,0.0,0.4378
2025-02-01,24,3344.4467299999997,0.0,397.3259299999995,0.0,9959.837397373454,0.0,3277.368075,0.0,2947.1208,0.0,0.4401
2025-02-01,25,3335.497825000001,0.0,307.6261250000007,0.0,10019.436286873453,0.0,3211.5634,0.0,3027.8717,0.0,0.4389
2025-02-01,26,3287.5434999999998,0.0,254.07349999999994,0.0,10065.580205623453,0.0,3158.4325,0.0,3033.47,0.0,0.4364
2025-02-01,27,3386.5937,0.0,367.2078999999999,0.0,10103.691230623454,0.0,3275.0922,0.0,3019.3858,0.0,0.4393
2025-02-01,28,3445.5595499999995,0.0,428.47904999999946,0.0,10158.772415623453,0.0,3303.0883499999995,0.0016,3017.0819,0.0014,0.4422
2025-02-01,29,3343.1620000000003,0.0,345.31200000000035,0.0,10223.044273123453,0.0,3225.8575,0.0,2997.85,0.0,0.4395
2025-02-01,30,3366.4324299999994,0.0,433.73092999999926,0.0,10274.841073123453,0.0,3279.029375,0.0,2932.7015,0.0,0.4333
2025-02-01,31,3464.9275483333327,0.0,473.8349483333322,0.0,10339.900712623452,0.0,3326.128025,0.02255,2991.1125,0.0199,0.4439
2025-02-01,32,8451.817666666668,0.0,2593.4936341769935,0.0,10410.975954873451,2682.984032489674,3322.945,0.0,3175.34,0.0,0.4301
2025-02-01,33,8436.036285,0.0,0.0,0.0,10800.0,5151.574385,3359.4362,0.0,3284.4619,0.0,0.3713
2025-02-01,34,2654.2084432499814,0.0,0.0,532.8785567500186,10800.0,0.0,3316.23545,0.31367500000000004,3187.3644,0.2774,0.5708
2025-02-01,35,0.0,0.0,0.0,3065.9,10701.318785787034,0.0,3257.5675,0.0,3065.9,0.0,0.9099
2025-02-01,36,0.0,0.0,0.0,3211.1230999999993,10133.559526527775,0.0,3369.30375,0.0,3211.1231,0.0,0.9368
2025-02-01,37,0.0,0.0,0.0,3200.132,9538.90710060185,0.0,3387.2158,4.369275,3203.9961,3.8641,0.8758
2025-02-01,38,0.0,0.0,0.0,3027.12,8946.290063564813,0.0,3280.29,0.0,3027.12,0.0,0.8759
2025-02-01,39,0.0,0.0,0.0,3117.3221,8385.712285787034,0.0,3319.6362,0.0,3117.3221,0.0,0.8601
2025-02-01,40,0.0,0.0,0.0,3308.8804999999998,7808.430415416664,0.0,3581.854925,73.05355,3398.49,89.6095,0.8442
